user_id,traffic_source,time_on_platform,courses_viewed,signup_date,last_active_date,is_enrolled,is_churned,revenue_generated
e2172fd9-5586-4f9c-8cdb-032361eee56e,Google Ads,14.96,7,2025-05-19,2025-05-22,0,0,0.0
1b21b197-697a-4572-9fa6-9a6e2221a8b7,Organic Search,46.68,3,2025-06-26,2025-07-12,1,1,418.16
97b0a9ef-040e-410a-8956-fed338d898a4,Referral,74.53,0,2026-03-19,2026-03-23,0,0,0.0
f243c3cb-8a37-4b03-9c83-f665c1720041,Referral,24.36,10,2025-06-05,2025-06-16,1,0,95.15
1eedec28-f228-4c54-a55b-bdcd320086c0,Organic Search,34.75,5,2026-04-09,2026-04-14,0,0,0.0
9a98a298-617f-4fee-93a2-9b891094517f,Organic Search,23.9,9,2025-12-21,2025-12-22,0,0,0.0
83713fec-97a3-40e4-a18e-c6cecc726df7,Direct,6.4,6,2025-07-03,2025-07-08,0,0,0.0
d827b6ee-0c85-41c0-821a-f3910e613bb1,Social Media,30.67,4,2026-02-16,2026-02-16,0,0,0.0
ef65c0bf-1269-489a-afe3-1f6922047ee5,Email Campaign,27.77,0,2025-05-14,2025-05-14,0,0,0.0
93620ba6-ab12-4b54-aa1a-61cad1e4fed4,Organic Search,14.23,5,2025-12-04,2025-12-29,1,0,497.27
9690b272-08ee-46a0-b974-95a28ac06d26,Referral,25.2,0,2025-08-08,2025-08-10,0,0,0.0
e22e6af5-7230-430c-bed3-8255a9be63d7,Email Campaign,25.32,8,2025-08-26,2025-08-30,1,0,400.42
ce5d986d-699e-4dde-a8ff-f9a90149cd00,Social Media,44.38,2,2025-07-17,2025-07-19,0,0,0.0
2d236b19-eeda-4f29-b170-131fd08eff42,Google Ads,30.34,2,2026-03-14,2026-03-19,0,0,0.0
a95456af-f76a-4b9f-960a-7c35ea35fc26,Social Media,38.26,3,2026-02-24,2026-02-26,0,0,0.0
aca6eebe-3921-4e53-af1f-c9bd67eb2792,Social Media,33.65,8,2026-03-14,2026-03-19,0,0,0.0
49bcede2-0040-4f01-889f-a72b5ebfdb5c,Direct,30.6,7,2025-07-06,2025-07-28,1,0,368.02
a5c83538-4fc8-4c0e-9d80-fe6dcb21a520,Social Media,28.32,4,2025-11-08,2025-11-09,0,0,0.0
7a3d2db0-1abe-4485-a68f-dc25d3b6210e,Organic Search,20.63,9,2025-12-17,2025-12-25,1,0,261.41
906897a3-37f3-4050-9d81-203f2fe20a20,Social Media,1.62,5,2026-03-31,2026-04-13,1,1,81.45
2c0674e6-c3d5-463b-af91-1de9209a1d41,Organic Search,2.49,3,2026-02-12,2026-02-14,1,0,78.19
cd74293c-546e-47db-97a8-35e4203cc46a,Google Ads,6.5,6,2026-04-07,2026-04-07,0,0,0.0
a892b1d4-6838-441d-8c8b-d10648807cf6,Referral,30.88,9,2026-04-07,2026-04-11,1,0,293.74
4e4d84bb-c2ce-4914-b159-016a88319a60,Google Ads,5.1,9,2026-02-28,2026-03-01,0,0,0.0
2ac4763c-a317-468a-859f-7c6037256e68,Social Media,28.53,10,2025-11-11,2025-11-15,0,0,0.0
451f7f9c-4133-41a3-a339-abc03f76db0c,Direct,31.83,6,2026-01-12,2026-02-01,1,0,437.6
add04070-310c-4d02-b1d0-8a835e2e278c,Social Media,16.9,4,2025-10-24,2025-10-30,1,1,59.12
2f3ed164-54b3-4c03-9f57-66ee61bce684,Referral,19.17,3,2025-10-08,2025-10-08,0,0,0.0
a0034f6c-a01c-4a57-9467-068342733c42,Google Ads,30.44,4,2025-10-20,2025-11-07,1,0,84.12
bae1ac7e-da31-4511-926e-3880876e465e,Direct,16.17,7,2025-06-21,2025-06-25,1,0,65.6
343f8d43-9daf-4606-88ef-d1d068a75bc1,Direct,25.14,7,2025-09-09,2025-09-11,0,0,0.0
5c9121a2-fcc6-410e-b9ee-1f1dd47c2e84,Referral,20.18,4,2025-06-02,2025-06-03,0,0,0.0
b1b05767-e090-4f6a-a91d-79bf3d396f40,Social Media,19.65,0,2025-09-28,2025-10-21,1,0,164.83
31ecc6af-33cd-4e9f-bdc0-e1945bd41ea1,Direct,33.08,10,2025-10-01,2025-10-20,1,0,386.35
b8e64a99-a9e6-46e2-abc3-194a592be17b,Direct,23.02,4,2026-02-15,2026-03-09,1,0,454.86
7c45b2d8-9bc1-48da-95e7-cc82e2c9b774,Google Ads,20.83,0,2026-01-12,2026-01-17,0,0,0.0
3423f181-c89a-44b6-af24-17b2f3ba387c,Organic Search,26.03,6,2025-12-23,2026-01-13,1,0,425.51
65a8c80a-ce59-4950-a562-f29e6938f975,Google Ads,13.67,2,2025-11-02,2025-11-21,1,1,310.0
595a4857-50b0-4ad7-9839-afeffffbd735,Google Ads,48.03,3,2026-04-10,2026-04-12,0,0,0.0
4504d418-4613-4d2a-ad31-584e9d4314cb,Social Media,49.77,9,2026-01-30,2026-02-21,1,0,363.56
00f547ae-70ca-428a-9005-70ef6ede20db,Organic Search,43.95,10,2025-12-04,2025-12-07,1,0,385.72
5ea34b02-36d9-4001-9ebb-34c163c8f0f6,Email Campaign,24.27,5,2025-07-17,2025-07-19,0,0,0.0
800dbb7c-18c1-4966-b844-7fffcd661333,Email Campaign,18.99,5,2025-10-08,2025-10-11,0,0,0.0
ffb6286a-b569-4002-ae1f-1652a742696b,Organic Search,15.71,1,2026-04-03,2026-04-05,0,0,0.0
82b03458-fa84-4543-a441-cd0921634691,Google Ads,4.67,7,2025-05-27,2025-05-28,0,0,0.0
d9c29c55-c60b-4f1d-a2cf-f4887ebe8cb8,Social Media,80.88,1,2025-12-03,2025-12-18,1,0,166.16
a28d956e-8896-457d-ab32-a5d381d4e391,Direct,53.92,3,2025-07-30,2025-08-06,1,0,192.09
2a80499e-67b7-4867-b78f-533c41e5197a,Direct,12.73,5,2026-01-09,2026-01-13,0,0,0.0
47f26930-ab22-48c1-9168-8d00a5c80035,Social Media,65.31,3,2025-12-26,2026-01-23,1,0,376.55
6e566ecd-96cf-44fb-ad59-b16693cfa484,Organic Search,60.52,10,2025-11-21,2025-11-23,1,0,368.42
e3b45661-dd01-40b5-a1a2-41c2bf365b2a,Direct,3.33,8,2025-12-04,2025-12-18,1,0,55.57
5de08413-50c3-42e2-a38b-bebcdc597a31,Google Ads,65.05,10,2025-05-29,2025-06-15,1,0,438.42
258474ae-4c7d-4a6e-bf0e-c876811ae414,Organic Search,17.92,6,2025-05-28,2025-05-28,0,0,0.0
a09f9842-f7b6-4b39-b152-e8e65f9d65a0,Organic Search,11.89,10,2026-03-27,2026-04-01,0,0,0.0
d38014d2-7de2-4d9b-a9ec-44810b245ef2,Direct,30.95,1,2026-05-10,2026-05-11,0,0,0.0
1df280e5-2177-44c0-ae9e-5195fa9e9536,Direct,28.86,10,2025-06-11,2025-06-18,1,0,440.28
0a6247bc-b0ef-4cba-adb6-177ebd22434f,Email Campaign,13.36,3,2025-05-20,2025-05-22,0,0,0.0
bcc5ecd1-18e5-41e1-842c-a047a6d4d0db,Organic Search,0.98,1,2025-11-04,2025-11-06,0,0,0.0
b5b93ad0-139a-435d-a558-2ca77e492321,Google Ads,29.29,0,2026-04-09,2026-04-14,0,0,0.0
4f51a27c-efb7-49ef-a45f-87b0520a5f51,Email Campaign,32.47,8,2026-04-09,2026-04-18,1,0,395.97
4edc3abb-c5b8-4233-bd06-fe9422bb6598,Direct,28.96,10,2025-06-11,2025-06-23,1,0,121.84
41956a13-d4fe-4981-8fbd-dc906dbd75a9,Referral,39.45,1,2025-05-25,2025-06-18,1,1,381.53
c6143ad7-5913-4e08-928f-2f9002f60829,Referral,2.57,3,2026-03-07,2026-03-10,0,0,0.0
1eb68ec3-228f-414b-bbee-2586ee8e669f,Social Media,27.22,3,2026-05-09,2026-05-09,0,0,0.0
cde586df-2664-4b22-bfc5-0f10f0758f9c,Google Ads,40.38,7,2025-12-02,2025-12-24,1,0,310.04
5ae39e07-9d53-4d49-b526-72eadc712aa6,Social Media,24.76,0,2025-06-15,2025-06-20,0,0,0.0
ccf525f5-7343-4473-91ca-7f9659b3b403,Social Media,18.18,10,2025-09-26,2025-10-05,1,0,495.67
125cfed4-47e6-4d93-883a-78d2a37437ce,Social Media,2.83,6,2025-11-16,2025-11-17,0,0,0.0
8013e181-202a-4c8a-8725-8024b60b604e,Email Campaign,15.31,0,2025-12-22,2025-12-26,0,0,0.0
dcd465e7-604c-409e-bbba-1462ad8681b9,Social Media,35.39,0,2026-01-31,2026-02-04,0,0,0.0
cf3af7c8-d4c9-4953-b134-752c6d646099,Direct,58.87,10,2025-10-18,2025-11-16,1,0,402.98
ed5da2e8-ae2b-4db8-8d56-b42c72c4e392,Referral,26.64,0,2025-08-06,2025-08-07,0,0,0.0
453efdc1-543c-4445-be9e-0cb035563eaa,Social Media,42.65,5,2025-10-31,2025-11-22,1,0,415.33
d090ac64-bdbe-4c22-a0c5-26fc9918411a,Organic Search,24.98,1,2025-07-10,2025-07-14,0,0,0.0
107b8e78-e1e6-4848-8edb-a8f3aacadb7b,Social Media,3.18,0,2025-07-19,2025-07-22,0,0,0.0
f2164fa3-bc78-41b2-a371-6705e6a48a9d,Google Ads,43.71,4,2025-05-30,2025-06-19,1,0,276.55
d636b809-3fdc-4960-90c1-4bd9d397df50,Organic Search,46.11,3,2025-05-13,2025-05-14,0,0,0.0
c524d9b7-9224-4301-95a1-ffeb595fd1ed,Google Ads,21.07,6,2025-12-25,2025-12-29,1,0,83.92
e8de971d-96f6-4b76-9a35-35a75c4f6d0f,Google Ads,23.19,10,2026-04-30,2026-05-08,1,0,139.36
4491735b-d7c0-4e98-8056-514d2d17b092,Google Ads,68.76,4,2026-04-07,2026-04-17,1,0,144.85
dd05078d-6a4b-4bb3-9275-780e1ef9ae60,Social Media,24.38,8,2026-01-11,2026-01-29,1,0,88.66
